,Player,Team,Min,FG%,3P%,FT%,min%
327,Sasha Vezenkov,SAC,511.1,44,37.5,80,12.99
328,KJ Martin,PHI,746.5,53.6,28.6,53.7,18.97
329,Bol Bol,PHX,469,61.6,42.3,78.9,11.92
329,Kevin Knox II,DET,560.2,46.2,33,90.9,14.23
331,Omer Yurtseven,UTA,545.1,53.8,20.8,67.9,13.85
332,Evan Fournier,DET,579.7,35.7,25.4,80.6,14.73
333,Thomas Bryant,MIA,441.4,57.7,18.2,87.2,11.21
334,Shake Milton,NYK,581.2,40.5,28.1,81.6,14.77
335,Tari Eason,HOU,480.1,46.6,36,63.6,12.20
336,Jalen Wilson,BKN,664.5,42.5,32.4,82.6,16.88
337,Cody Martin,CHA,753,38.1,31.4,60.6,19.13
337,MarJon Beauchamp,MIL,607.7,48.8,40,67.9,15.44
339,Delon Wright,MIA,741.6,39.4,36.8,82.2,18.84
340,Dwight Powell,DAL,836.3,67.9,33.3,70.8,21.25
341,Eugene Omoruyi,WAS,393.3,48.5,28.3,65.3,9.99
342,Oshae Brissett,BOS,630.2,44.4,27.3,60.2,16.01
343,JT Thor,CHA,780.6,43.7,34.6,55,19.83
343,Richaun Holmes,WAS,554.1,55.8,33.3,72.3,14.08
345,Keita Bates-Diop,BKN,664.6,43.4,30.4,76.2,16.89
346,Jordan McLaughlin,MIN,626.1,48.3,47.2,72.2,15.91
347,Derrick Rose,MEM,399.3,46.1,36.6,88.9,10.14
347,Maxi Kleber,DAL,871.4,43.2,34.8,70.2,22.14
349,Sandro Mamukelashvili,SAS,451,47.1,29.7,73.5,11.46
350,Anthony Gill,WAS,466.5,46.9,24.4,80.6,11.85
351,Zeke Nnaji,DEN,576.1,46.3,26.1,67.7,14.64
352,JaVale McGee,SAC,339.4,59.8,14.3,57.8,8.62
353,Dalen Terry,CHI,680.7,43.9,23,58.1,17.29
354,Luka Samanic,UTA,404.4,38,20.3,78.6,10.27
355,Bismack Biyombo,OKC,791.5,56.5,0,48.1,20.11
356,Jacob Gilyard,BKN,698.4,40,40.5,100,17.74
356,Mitchell Robinson,NYK,768.1,57.5,0,40.9,19.51
356,Ricky Council IV,PHI,288.6,48.2,37.5,74.6,7.33
359,Trey Jemison III,MEM,574,55.1,0,84,14.58
360,Jalen McDaniels,TOR,538,34.4,16.9,73,13.67
361,Patrick Baldwin Jr.,WAS,493.5,38.1,32,67.9,12.54
362,Brandon Boston,LAC,345.2,40.4,26.9,69.7,8.77
363,Lester Quinones,GSW,394.5,39.7,36.4,69,10.02
363,Monté Morris,MIN,476,40.5,38.6,68.4,12.09
365,Jaden Springer,BOS,507,39.9,20.8,83.3,12.88
366,Svi Mykhailiuk,BOS,413.2,41.6,38.9,66.7,10.50
367,Tristan Thompson,CLE,548.9,61.3,0,28.8,13.95
368,Mike Muscala,OKC,600.2,35.9,29.2,68,15.25
369,Rayan Rupert,POR,633.2,33.5,35.9,76,16.09
369,Skylar Mays,LAL,433.3,39.6,29.6,76.5,11.01
371,Neemias Queta,BOS,333.2,64.4,0,71.4,8.47
372,Javon Freeman-Liberty,TOR,403,44.4,23.8,91.7,10.24
373,Johnny Davis,WAS,613.5,40.3,35,58.3,15.59
373,Matt Ryan,NOP,390.4,43.4,45.1,92.9,9.92
373,Nassir Little,PHX,458.3,46,30,85,11.64
376,Jarred Vanderbilt,LAL,581.2,51.8,29.6,66.7,14.77
377,Aleksej Pokusevski,CHA,405.4,40.5,32.7,73.2,10.30
378,Danuel House Jr.,PHI,509.1,44.8,30,76.1,12.93
378,Dominick Barlow,SAS,419.5,49.6,33.3,69,10.66
378,Johnny Juzang,UTA,371.8,46.4,41.6,71.4,9.45
381,DeAndre Jordan,DEN,395.7,62.4,0,49.1,10.05
382,Ish Smith,CHA,740.8,41.8,50,75,18.82
383,Lindy Waters III,OKC,280.2,47.1,43.5,100,7.12
383,Thaddeus Young,PHX,439.5,60.2,14.3,40,11.17
385,A.J. Lawson,DAL,310.9,44.6,26,65.2,7.90
386,Vít Krejčí,ATL,541.3,49,41.2,83.3,13.75
387,Noah Clowney,BKN,369.9,53.8,36.4,70,9.40
387,Ousmane Dieng,OKC,365,42.2,30,87.5,9.27
389,Patty Mills,MIA,415.3,35.1,27.6,100,10.55
389,Robert Covington,PHI,488.4,43.9,33.9,84.6,12.41
389,Stanley Umude,DET,307.1,44,45.3,90.6,7.80
392,Andre Jackson Jr.,MIL,572.3,50,37,72.7,14.54
393,Olivier-Maxence Prosper,DAL,336.2,38.5,28.9,68.3,8.54
394,Alex Len,SAC,444.2,61.7,0,58.8,11.29
394,Jarace Walker,IND,340.4,40.9,40,88.9,8.65
396,Yuta Watanabe,MEM,464.4,35.3,29.4,58.8,11.80
397,Jeremiah Robinson-Earl,NOP,334.3,47.4,33.3,75,8.49
397,Jontay Porter,TOR,359.7,38.5,33.3,83.3,9.14
399,Devonte' Graham,SAS,312.9,35.2,30.1,81.3,7.95
399,Isaiah Livers,DET,469.4,34.5,28.6,66.7,11.93
401,Javonte Green,CHI,230.4,60,37,76.9,5.85
401,Wesley Matthews,ATL,412.9,35.1,34.8,75,10.49
